date,bank,product_name,rate_effective,rate_nominal,monthly,total_cost,first_year_cost,establishment_fee
2021-10-03,Himla Banktjenester (Fana Sparebank),Boliglån innenfor 75 %,1.33,1.32,23716,5691840,284592,0
2021-10-03,Nybygger.no (Sparebanken Øst),Boliglån 75%,1.34,1.33,23738,5697120,284856,0
2021-10-03,SpareBank 1 SMN,Grønt førstehjemslån,1.39,1.35,23852,5724480,286224,2650
2021-10-03,NORDirekte (Skagerrak Sparebank),Boliglån inntil 70 %,1.43,1.4,23938,5745120,287256,0
2021-10-03,Orkla Sparebank,Grønt boliglån,1.54,1.5,24192,5806080,290304,2000
2021-10-03,Landkreditt Bank AS,Grønt Boliglån,1.56,1.55,24247,5819280,290964,0
2021-10-03,SpareBank 1 Hallingdal Valdres,Grønt lån bolig/ fritidsbolig til eget bruk (Krav om energikarakter A),1.6,1.55,24325,5838000,291900,5000
2021-10-03,Bulder Bank (Sparebanken Vest),Boliglån innenfor 70 %,1.62,1.61,24381,5851440,292572,0
2021-10-03,SpareBank 1 Østlandet,Grønt boliglån,1.63,1.59,24408,5857920,292896,1750
2021-10-03,Sparebanken Øst,Grønt boliglån,1.64,1.59,24411,5858640,292932,0
2021-10-04,Himla Banktjenester (Fana Sparebank),Boliglån innenfor 75 %,1.33,1.32,23716,5691840,284592,0
2021-10-04,Nybygger.no (Sparebanken Øst),Boliglån 75%,1.34,1.33,23738,5697120,284856,0
2021-10-04,SpareBank 1 SMN,Grønt førstehjemslån,1.39,1.35,23852,5724480,286224,2650
2021-10-04,NORDirekte (Skagerrak Sparebank),Boliglån inntil 70 %,1.43,1.4,23938,5745120,287256,0
2021-10-04,Orkla Sparebank,Grønt boliglån,1.54,1.5,24192,5806080,290304,2000
2021-10-04,Landkreditt Bank AS,Grønt Boliglån,1.56,1.55,24247,5819280,290964,0
2021-10-04,SpareBank 1 Hallingdal Valdres,Grønt lån bolig/ fritidsbolig til eget bruk (Krav om energikarakter A),1.6,1.55,24325,5838000,291900,5000
2021-10-04,Bulder Bank (Sparebanken Vest),Boliglån innenfor 70 %,1.62,1.61,24381,5851440,292572,0
2021-10-04,SpareBank 1 Østlandet,Grønt boliglån,1.63,1.59,24408,5857920,292896,1750
2021-10-04,Sparebanken Øst,Grønt boliglån,1.64,1.59,24411,5858640,292932,0
2021-10-05,Himla Banktjenester (Fana Sparebank),Boliglån innenfor 75 %,1.33,1.32,23716,5691840,284592,0
2021-10-05,Nybygger.no (Sparebanken Øst),Boliglån 75%,1.34,1.33,23738,5697120,284856,0
2021-10-05,SpareBank 1 SMN,Grønt førstehjemslån,1.39,1.35,23862,5726880,286344,2650
2021-10-05,NORDirekte (Skagerrak Sparebank),Boliglån inntil 70 %,1.43,1.4,23938,5745120,287256,0
2021-10-05,Orkla Sparebank,Grønt boliglån,1.54,1.5,24192,5806080,290304,2000
2021-10-05,Landkreditt Bank AS,Grønt Boliglån,1.56,1.55,24247,5819280,290964,0
